source_id,source_file,source_type,coverage,status,last_verified,notes
SRC-021,https://pmc.ncbi.nlm.nih.gov/articles/PMC9334006/,peer-reviewed-research,"Betta husbandry, domestication and aggressive behavior",verified,2026-09-01,"Journal of the American Association for Laboratory Animal Science review"
SRC-022,https://kb.rspca.org.au/categories/companion-animals/fish/how-should-i-care-for-my-siamese-fighting-fish,animal-welfare-guidance,"Siamese fighting fish housing, environmental and welfare requirements",verified,2026-09-01,"RSPCA Australia knowledgebase guidance"
SRC-023,https://www.aquaticvetconsulting.com/about,public-professional-profile,"Robert Martinez aquatic-veterinary credential, education, training and professional experience",verified,2026-09-01,"Primary professional biography supplied by the owner"
SRC-024,https://www.wavma.org/Webinars/b1089-fish-er-medicine-97942,professional-association-profile,"Robert Martinez aquatic-veterinary credential, fish-medicine teaching and professional roles",verified,2026-09-01,"World Aquatic Veterinary Medical Association presenter biography"
SRC-025,https://www.merckvetmanual.com/all-other-pets/fish/disorders-and-diseases-of-fish,veterinary-manual,"Owner-facing fish disease signs, diagnostic limits, sanitation and escalation",verified,2026-09-01,"Merck Veterinary Manual"
SRC-026,https://www.merckvetmanual.com/exotic-and-laboratory-animals/aquarium-fish/bacterial-diseases-of-fish,veterinary-manual,"Bacterial fish-disease diagnosis, culture, susceptibility and antimicrobial stewardship",verified,2026-09-01,"Merck Veterinary Manual professional article"
SRC-027,https://www.merckvetmanual.com/exotic-and-laboratory-animals/aquarium-fish/parasitic-diseases-of-fish,veterinary-manual,"Ich signs, microscopic diagnosis, lifecycle and treatment constraints",verified,2026-09-01,"Merck Veterinary Manual professional article"
SRC-028,https://ask.ifas.ufl.edu/topics/fish-health-management,university-extension,"Fish-health prevention through water quality, nutrition, sanitation and observation",verified,2026-09-01,"University of Florida IFAS Extension"
SRC-029,https://ask.ifas.ufl.edu/publication/FA006,university-extension,"Ich signs, transmission, lifecycle, diagnostic confirmation and management constraints",verified,2026-09-01,"University of Florida IFAS Extension publication"
SRC-030,https://journal.unnes.ac.id/nju/biosaintifika/article/view/6519/5193,peer-reviewed-research,"Terminalia catappa prepared leaf extract phytochemicals, Betta-sp. water-quality observations and study limitations",verified,2026-09-02,"Controlled extract study; does not establish a whole-leaf home-aquarium dose or disease cure"
SRC-031,https://pubmed.ncbi.nlm.nih.gov/23885412/,peer-reviewed-research,"Laboratory bactericidal testing and acute-toxicity assessment of Terminalia catappa leaf extracts for Siamese fighting fish culture",verified,2026-09-02,"Extract findings are not represented as proof that whole leaves treat disease"
SRC-032,https://peerj.com/articles/18491/,peer-reviewed-research,"Betta splendens auditory thresholds and low-frequency sensitivity measured with auditory evoked potentials",verified,2026-09-02,"Does not test music recognition preference or household speaker limits"
SRC-033,https://pmc.ncbi.nlm.nih.gov/articles/PMC6849755/,peer-reviewed-review,"Fish hearing lateral-line distinctions and species-dependent effects of anthropogenic sound",verified,2026-09-02,"Used for general sensory and evidence-boundary context; Betta-specific thresholds come from SRC-032"
SRC-034,https://pubmed.ncbi.nlm.nih.gov/38754387/,peer-reviewed-research,"Behavioral endocrine and neural response of Atlantic salmon to repeated low-frequency sound",verified,2026-09-02,"Cross-species evidence only; not used to invent a Betta-specific decibel threshold"
SRC-035,https://pubmed.ncbi.nlm.nih.gov/33984609/,peer-reviewed-research,"Betta splendens threat behavior and androgen and corticosteroid response to mirror and live-conspecific challenges",verified,2026-09-02,"Supports treating mirrors as aggression stimuli rather than proven exercise therapy"
SRC-036,https://pmc.ncbi.nlm.nih.gov/articles/PMC10449422/,peer-reviewed-research,"Betta splendens behavioral and endocrine response to noninteractive social stimuli",verified,2026-09-02,"Supports the threat-to-attack sequence and physiological response boundary"
SRC-037,https://link.springer.com/article/10.1007/s10211-025-00469-9,peer-reviewed-research,"Individual variation and habituation during repeated Betta splendens mirror assays",verified,2026-09-02,"Laboratory mirror protocol is not represented as a home enrichment prescription"
SRC-038,https://pmc.ncbi.nlm.nih.gov/articles/PMC6686523/,peer-reviewed-research,"Sex-related and strain-related variation in Betta splendens aggression",verified,2026-09-02,"Used only to support that female bettas can display aggression; not generalized to every individual"
SRC-039,https://pmc.ncbi.nlm.nih.gov/articles/PMC8906746/,peer-reviewed-research,"Betta splendens domestication history gene flow and genetic bases of fin morphology",verified,2026-09-02,"Supports the domestic short-fin context; does not equate a modern Plakat with an unchanged wild ancestor"
SRC-040,https://www.zoores.ac.cn/en/article/id/6e38f679-2975-4e96-8bfa-84c18e51fa05,peer-reviewed-research,"Giant Betta genome regions and candidate genes associated with enlarged body size",verified,2026-09-02,"Does not support a single proven growth-hormone mutation or retail adult-size guarantee"
SRC-041,https://pmc.ncbi.nlm.nih.gov/articles/PMC11704571/,peer-reviewed-research,"Betta splendens tank-size and furnishing effects on swimming resting and abnormal behavior",verified,2026-09-02,"Behavioral differences do not provide a single-action test of emotion or disease"
SRC-042,https://pmc.ncbi.nlm.nih.gov/articles/PMC10936361/,peer-reviewed-research,"Betta splendens space and environmental-enrichment effects on behavior",verified,2026-09-02,"Supports environmental context without diagnosing an individual fish from one observation"
SRC-043,https://www.msdvetmanual.com/all-other-pets/fish/routine-health-care-of-fish,veterinary-manual,"General fish illness signs preventive care water-quality monitoring and escalation",verified,2026-09-02,"Used for symptom clusters and care checks; not to diagnose a specific disease"
SRC-044,https://pmc.ncbi.nlm.nih.gov/articles/PMC3620505/,peer-reviewed-review,"Behavioral criteria for zebrafish sleep and arousal states",verified,2026-09-02,"Cross-species fish evidence; does not establish a Betta-specific sleep duration"
SRC-045,https://pmc.ncbi.nlm.nih.gov/articles/PMC2020497/,peer-reviewed-research,"Adult and larval zebrafish sleep-like behavior circadian timing and responsiveness",verified,2026-09-02,"Cross-species sleep evidence only; Betta care claims remain conservative"
SRC-046,https://www.scielo.br/j/rbz/a/drLghfRTbxkYDH9P5sWj43Q/?format=html&lang=en,peer-reviewed-research,"Betta splendens reproductive and growth responses under five controlled photoperiods",verified,2026-09-02,"Breeding study does not establish one universal pet-aquarium schedule or psychological outcome"
SRC-047,https://pubmed.ncbi.nlm.nih.gov/25577738/,peer-reviewed-research,"Artificial light at night and circadian-rhythm effects in European perch",verified,2026-09-02,"Cross-species evidence only; not used to invent a Betta-specific light threshold"
SRC-048,https://tropica.com/en/plants/plantdetails/Anubiasbarterivar.nana(101)/4545,primary-grower-reference,"Anubias barteri var. nana growth habit rhizome placement shade tolerance and mature size",verified,2026-09-02,"Cultivation reference does not guarantee that a completed aquarium layout is injury-proof"
SRC-049,https://tropica.com/en/plants/plantdetails/Microsorumpteropus(008XL)/4409,primary-grower-reference,"Microsorum pteropus growth habit rhizome placement light demand and mature size",verified,2026-09-02,"Cultivation reference does not replace inspection of attachments hardscape and swimming routes"
SRC-050,https://fishbase.se/identification/SpeciesList.php?genus=Betta,taxonomic-database,"Dated list and current count of recognized Betta species",verified,2026-09-02,"FishBase listed 78 species on the verification date; the number is date-sensitive"
SRC-051,https://www.calacademy.org/scientists/projects/eschmeyers-catalog-of-fishes,taxonomic-database,"Current fish nomenclature and continuing taxonomic updates",verified,2026-09-02,"Catalog version dated 13 August 2026; used to explain why counts require a date"
SRC-052,https://www.scienceasia.org/2020.46.n4/scias46_382.pdf,peer-reviewed-review,"Wild Betta distribution habitat parental-care modes and domestic Betta context",verified,2026-09-02,"Regional review does not support one genus-wide habitat or aquarium prescription"
SRC-053,https://www.fishbase.se/summary/betta-splendens.html,taxonomic-database,"Betta splendens classification distribution habitat reproduction and conservation record",verified,2026-09-02,"IUCN category shown by FishBase rests on a 2011 assessment and is labelled with that date"
SRC-054,https://pubmed.ncbi.nlm.nih.gov/15154556/,peer-reviewed-research,"Evolutionary transitions between bubble nesting and mouthbrooding in Betta",verified,2026-09-02,"Study found no consistent relationship between care mode and three tested habitat variables"
SRC-055,https://zookeys.pensoft.net/article/142857/,peer-reviewed-research,"Morphological and molecular reassessment of the Betta coccina complex",verified,2026-09-02,"Supports taxonomic uncertainty and peat-swamp context without creating a husbandry recipe"
SRC-056,https://iucn.org/story/202508/planet-will-never-see-species-again-fight-save-krabis-endemic-betta-fish,conservation-authority,"Betta simplex restricted range habitat threats and Critically Endangered status",verified,2026-09-02,"Species-specific conservation example; not generalized to all wild Betta"
SRC-057,https://www.fws.gov/media/ecological-risk-screening-summary-siamese-fighting-fish-betta-splendens-uncertain-risk,government-risk-assessment,"Introduced Betta splendens populations outside the native range",verified,2026-09-02,"Supports the no-release boundary without claiming a measured impact where evidence is absent"
SRC-058,https://link.springer.com/article/10.1186/s12915-021-01205-y,peer-reviewed-research,"dmrt1 regulation and sex determination in domesticated fighting fish",verified,2026-09-02,"Supports genetic-sex context; does not make external sex identification certain"
SRC-059,https://actanatsci.com/makale/3330,peer-reviewed-research,"Betta splendens embryonic and larval development under controlled conditions",verified,2026-09-02,"Controlled timing is not a guaranteed home-aquarium schedule"
SRC-060,https://doi.org/10.1017/S0967199413000488,peer-reviewed-research,"Early development and yolk absorption in Betta splendens",verified,2026-09-02,"Supports developmental sequence without prescribing a universal fry-feeding clock"
SRC-061,https://www.petco.com/category/fish/betta-fish-shop/betta-fish-tanks,retailer-primary,"Current aquarium-kit availability used for a dated cost-category snapshot",verified,2026-09-02,"Not an endorsement; prices and availability can change"
SRC-062,https://www.petco.com/category/fish/betta-fish-shop/betta-heating-lighting,retailer-primary,"Current heater and lighting availability used for a dated cost-category snapshot",verified,2026-09-02,"Not an endorsement; selection and prices are date-sensitive"
SRC-063,https://www.petco.com/category/fish/betta-fish-shop/betta-filters-media,retailer-primary,"Current filter and media availability used for a dated cost-category snapshot",verified,2026-09-02,"Not an endorsement; selection and prices are date-sensitive"
SRC-064,https://www.msdvetmanual.com/exotic-and-laboratory-animals/aquarium-fish/management-of-aquarium-fish,veterinary-manual,"Aquarium-fish diagnostic history treatment routes antimicrobial limits copper safety and gas-bladder surgery",verified,2026-09-02,"Professional reference; this site omits universal dose instructions"
SRC-065,https://edis.ifas.ufl.edu/publication/FA008,extension-guidance,"Copper use calculations and freshwater water-chemistry constraints",verified,2026-09-02,"Supports the no-universal-copper-dose boundary"
SRC-066,https://pmc.ncbi.nlm.nih.gov/articles/PMC3648307/,peer-reviewed-review,"Columnaris disease biology host interaction and management evidence",verified,2026-09-02,"Does not replace wet mount culture or susceptibility-led clinical planning"
SRC-067,https://www.mdpi.com/2073-4409/11/11/1764,peer-reviewed-review,"Betta pigmentation genetics domestication and sex-determination research overview",verified,2026-09-02,"Used for biological context without converting trade labels into deterministic genetics"
SRC-068,https://www.msdvetmanual.com/exotic-and-laboratory-animals/aquarium-fish/parasitic-diseases-of-fish,veterinary-manual,"Piscinoodinium signs microscopy lifecycle and treatment constraints",verified,2026-09-02,"MSD canonical URL; supports clinical planning without a universal copper protocol"
SRC-069,https://www.msdvetmanual.com/exotic-and-laboratory-animals/aquarium-fish/bacterial-diseases-of-fish,veterinary-manual,"Columnaris diagnosis acute risk culture and antimicrobial-susceptibility guidance",verified,2026-09-02,"MSD canonical URL; supports diagnosis-led antimicrobial stewardship"
SRC-070,https://www.msdvetmanual.com/all-other-pets/fish/providing-a-home-for-fish,veterinary-manual,"Aquarium housing water treatment filtration and environmental stability",verified,2026-09-02,"MSD canonical URL for the existing Merck veterinary reference"
SRC-071,https://www.fishbase.se/summary/12038,taxonomic-database,"Betta imbellis distribution habitat and reproductive record",verified,2026-09-02,"Species-level evidence without a cohabitation guarantee"
