asset_id,page_url,role,source_file,output_file,checksum,width,height,ratio,format,byte_size,alt,caption,description,credit,rights_status,focal_point,crop_policy,approved,status
tank-mates-hero,/compatibility/tank-mates/,article-hero,assets/source/betta-tank-mates-backup-aquarium.webp,public/assets/images/betta-tank-mates-backup-aquarium.webp,15fb95d8ce86768765393e18649b06c8fabd5f792c8d8fd59bed3c77761edaf4,1600,900,16:9,webp,138194,"Mustard-gas betta with a nerite snail and pygmy corydoras in a spacious planted aquarium beside a backup tank","Species research and a prepared separate aquarium remain necessary even when a community appears calm.","Welfare-first tank-mate hero showing a mustard-gas Plakat betta a nerite snail and a small pygmy corydoras group using separate areas of a large planted aquarium with a prepared backup aquarium visible",Owner-created,owner-supplied,right,"Keep the betta snail corydoras habitat zones and visibly separate backup tank in frame; show no chasing or crowding; use 16:9 without forced crop",true,approved
female-sorority-hero,/compatibility/female-sorority/,article-hero,assets/source/female-betta-separate-aquariums.webp,public/assets/images/female-betta-separate-aquariums.webp,290935e9faca1a70b88e060815a3782148e20936ba78ffc27bcdcd4f09e95b69,1600,900,16:9,webp,100956,"Copper blue and red female bettas housed in three independent planted aquariums","Separate individual housing is the safer default because female sex does not remove territorial risk.","Welfare-first editorial hero showing three mature short-finned female Betta splendens individually housed in separate heated filtered planted aquariums",Owner-created,owner-supplied,center,"Keep all three complete fish tanks glass boundaries waterlines heaters filters and shelters visible; do not crop away physical separation; use 16:9 without forced crop",true,approved
lifespan-hero,/biology-genetics/lifespan/,article-hero,assets/source/senior-betta-lifespan-care.webp,public/assets/images/senior-betta-lifespan-care.webp,d2c71f31e54fe1aab557ccec9895bf261411a5730e43aa0ca402a1e771f76d83,1600,900,16:9,webp,106314,"Mature rose-gold betta resting near the surface on a broad aquarium leaf","Accessible resting places and stable care can support an aging betta while new changes still require assessment.","Natural-history editorial hero showing a mature rose-gold Halfmoon Betta splendens resting comfortably on a broad smooth leaf in a low-current planted aquarium",Owner-created,owner-supplied,center,"Keep the complete fish supporting leaf water surface and low-current habitat visible; show subtle age without severe illness; use 16:9 without forced crop",true,approved
tail-types-hero,/biology-genetics/tail-types/,article-hero,assets/source/betta-tail-types-comparison.webp,public/assets/images/betta-tail-types-comparison.webp,fdf9fe4f2277069d729cd9d0662044a96afacc2217133c0a3936360426e8ac9d,1600,900,16:9,webp,112720,"Six domestic bettas showing Veiltail Crowntail Halfmoon Double-tail Plakat and Delta fin forms","Tail-type names describe visible domestic fin forms whose care implications depend on the individual fish.","Scientific editorial comparison of six anatomically credible domestic Betta splendens in separate matched aquarium panels showing red Veiltail blue Crowntail white Halfmoon yellow Double-tail green Plakat and purple Delta forms",Owner-created,owner-supplied,center,"Keep all six complete fish and every fin edge visible in separate panels at matched scale; use 16:9 without forced crop",true,approved
indian-almond-leaves-hero,/care/indian-almond-leaves/,article-hero,assets/source/indian-almond-leaves-betta-tank.webp,public/assets/images/indian-almond-leaves-betta-tank.webp,578320569a0d8c4987cc965342cb6be5afe53504778df3b224ad787ad5fc76c4,1600,900,16:9,webp,133206,"Healthy betta swimming beside an Indian almond leaf in lightly tannin-stained water","Indian almond leaves can tint aquarium water as plant compounds are released.","Editorial hero showing an optional catappa leaf in a maintained betta aquarium",Owner-created,owner-supplied,right,"Preserve the full fish and leaf; use 16:9 without forced crop",true,approved
heaters-calibration-hero,/care/heaters-calibration/,article-hero,assets/source/betta-aquarium-heater-calibration.webp,public/assets/images/betta-aquarium-heater-calibration.webp,f924728d3a0d90740ea343ea34beb0408c990cef222329bbb8fa6b22af38fbe1,1600,900,16:9,webp,114336,"Betta aquarium with a submersible heater and separate digital thermometer","A separate thermometer verifies the water temperature rather than relying only on the heater dial.","Editorial hero showing safe temperature monitoring in a small planted betta aquarium",Owner-created,owner-supplied,right,"Keep heater thermometer and fish visible; use 16:9 without forced crop",true,approved
hearing-music-hero,/behavior/hearing-music/,article-hero,assets/source/betta-fish-sound-vibration.webp,public/assets/images/betta-fish-sound-vibration.webp,80bb4c7801e40b00498ff27ce99731e17326748afca7823da616afa2a4191bb6,1600,900,16:9,webp,67906,"Betta fish in a planted aquarium positioned away from a home speaker","Physical separation from speakers helps reduce direct vibration reaching the aquarium.","Editorial hero showing a calm betta aquarium with a distant household speaker and no anthropomorphic music symbols",Owner-created,owner-supplied,right,"Keep the fish and visible space between tank and speaker; use 16:9 without forced crop",true,approved
flaring-triggers-hero,/behavior/flaring-triggers/,article-hero,assets/source/betta-fish-flaring-display.webp,public/assets/images/betta-fish-flaring-display.webp,2264823b80fb03277dde1330e7e355752dd91f6bd77454b5b7feda008e54e2d3,1600,900,16:9,webp,85058,"Male betta spreading its fins during a side-view display","Flaring is a visual display whose meaning and intensity depend on the trigger and individual fish.","Editorial hero showing an anatomically credible side-view flaring display without fighting or injury",Owner-created,owner-supplied,right,"Keep the entire fish and extended fins visible; use 16:9 without forced crop",true,approved
plakat-betta-hero,/biology-genetics/plakat-betta/,article-hero,assets/source/plakat-betta-short-fin-profile.webp,public/assets/images/plakat-betta-short-fin-profile.webp,adf855d3739fef259eae1827de3e3f2dd1fe613194f7a520ea2d14ccc0339ca4,1600,900,16:9,webp,53320,"Copper-metallic short-finned Plakat betta swimming in a planted aquarium","Plakat describes the short-fin form of a domesticated Betta splendens, not a guaranteed temperament.","Editorial hero showing one anatomically credible copper-metallic short-finned Plakat in profile without fighting imagery",Owner-created,owner-supplied,right,"Keep the entire fish and all fin edges visible; use 16:9 without forced crop",true,approved
giant-betta-hero,/biology-genetics/giant-betta/,article-hero,assets/source/giant-betta-size-comparison.webp,public/assets/images/giant-betta-size-comparison.webp,63d9e2be9ebe8e44098d46da8ddc13f3a6a25ede0f35682609b908c38a641677,1600,900,16:9,webp,76566,"Giant and standard-size short-finned bettas shown beside the same measurement scale","Giant bettas are selected for enlarged body size, but individual adult measurements still vary.","Editorial comparison showing two anatomically credible short-finned bettas at matched perspective with a neutral ruler",Owner-created,owner-supplied,right,"Keep both fish fully visible at the same scale and perspective; use 16:9 without forced crop",true,approved
unhappy-betta-hero,/behavior/unhappy-betta/,article-hero,assets/source/betta-behavior-welfare-check.webp,public/assets/images/betta-behavior-welfare-check.webp,6e463349147e4e93b5e2e65c703a2ac2392e8e3c47bc563b71d9d5ca1656e3af,1600,900,16:9,webp,84494,"Betta swimming near a thermometer while an aquarist checks a water sample","Persistent behavior changes should prompt measured husbandry checks rather than a diagnosis from one action.","Editorial photograph showing a planted betta aquarium with a visible thermometer and an aquarist performing a water check",Owner-created,owner-supplied,right,"Keep the entire fish thermometer and test tools visible; use 16:9 without forced crop",true,approved
betta-fish-sleep-hero,/anatomy/betta-fish-sleep/,article-hero,assets/source/betta-fish-resting-on-leaf.webp,public/assets/images/betta-fish-resting-on-leaf.webp,d6b1df639f5d07f43a983423e042bbb113a52229b10bf92265baf8bb4880598b,1600,900,16:9,webp,48382,"Koi-pattern betta resting on a broad aquarium leaf during a dim dark-period transition","A stable resting surface and consistent light-dark cycle support ordinary betta rest.","Editorial photograph showing an anatomically credible koi-pattern betta resting on a broad fin-safe leaf in low naturalistic aquarium light",Owner-created,owner-supplied,right,"Keep the whole fish and supporting leaf visible with usable negative space; use 16:9 without forced crop",true,approved
light-requirements-hero,/sensory/light-requirements/,article-hero,assets/source/betta-aquarium-light-timer.webp,public/assets/images/betta-aquarium-light-timer.webp,f1b172ff9925b85ede99d9c2160d567cdd35aa27c36467b38e4ff43c3c4c508a,1600,900,16:9,webp,108420,"Planted betta aquarium illuminated by an overhead LED light","A controllable aquarium light can provide a repeatable daytime period while the tank remains dark at night.","Editorial photograph of a healthy betta in a planted aquarium under a soft neutral overhead LED",Owner-created,owner-supplied,right,"Keep the whole aquarium light and fish visible; use 16:9 without cropping the fish",true,approved
fin-safe-plants-hero,/aquascaping/fin-safe-plants/,article-hero,assets/source/betta-anubias-java-fern-aquarium.webp,public/assets/images/betta-anubias-java-fern-aquarium.webp,8f59f597ff4237c935b9eb3f87503f7b194d8610eb546e32f23607493d81c2a9,1600,900,16:9,webp,117616,"Long-finned betta swimming among broad-leaf plants and Java fern","Smooth broad leaves and Java fern provide cover while the layout preserves open swimming routes and surface access.","Editorial photograph of a long-finned betta in a planted aquarium with broad leaves and Java fern",Owner-created,owner-supplied,right,"Keep the entire fish fin edges plant leaves and open surface visible; use 16:9 without cropping the fish",true,approved
tank-setup-hero,/care/tank-setup/,article-hero,assets/source/betta-tank-setup-equipment-layout.webp,public/assets/images/betta-tank-setup-equipment-layout.webp,8de9555d4dadf830970099ecc67a8fc208c58981cad39714a2be6c0a7655bcf8,1600,900,16:9,webp,120014,"Planted betta aquarium with heater thermometer filter and liquid water-test kit","A safe setup combines measured heat, gentle filtration, conditioned water, testing and smooth cover.","Editorial photograph of a planted betta aquarium with core care equipment visible",Owner-created,owner-supplied,right,"Keep the entire fish heater thermometer filter and test kit visible; use 16:9 without cropping the fish",true,approved
water-change-hero,/maintenance/water-change/,article-hero,assets/source/betta-partial-water-change.webp,public/assets/images/betta-partial-water-change.webp,1f55ea0092ea51ab6224016c4f81721dd315812b426d428d88f8bd0b13be9142,1600,900,16:9,webp,91260,"Aquarist performing a partial water change with a gravel siphon and replacement water","A controlled partial change removes waste while replacement water is prepared beside the aquarium.","Editorial photograph of an aquarist using a gravel siphon while a betta remains safely away from the intake",Owner-created,owner-supplied,left,"Keep the whole fish siphon path buckets and prepared replacement water visible; use 16:9 without cropping the fish",true,approved
wild-habitats-hero,/origins/wild-habitats/,article-hero,assets/source/wild-betta-splendens-floodplain-habitat.webp,public/assets/images/wild-betta-splendens-floodplain-habitat.webp,7f19d428c74629dad3f752eacbe531f06f4ffa6c855822a4c39f8e698430d520,1600,900,16:9,webp,110594,"Wild-type Betta splendens swimming through shallow vegetated floodplain water in Thailand","Wild Betta splendens uses shallow freshwater habitats that remain more complex than a small aquarium bowl.","Documentary-style editorial hero showing one anatomically credible wild-type short-finned Betta splendens in shallow vegetated floodplain or rice-field-margin water in Thailand; submerged stems leaf litter open surface and wider wetland context visible; natural brown green coloration; no ornate domestic fins dry mud tiny container map labels text overlays or product logos",Owner-created,owner-supplied,right,"Keep the entire fish wetland vegetation open surface and wider habitat context visible; reserve negative space; use 16:9 without forced crop",true,approved
species-hero,/biology-genetics/species/,article-hero,assets/source/betta-genus-species-comparison.webp,public/assets/images/betta-genus-species-comparison.webp,56c3791ec80a2a479b2ba2e20f97f4fc658baa608eaecd5e1130e4932611f4e4,1600,900,16:9,webp,131348,"Representative wild Betta splendens Betta imbellis Betta coccina and Betta pugnax shown as distinct species","The Betta genus contains separate wild species as well as the familiar domesticated Betta splendens.","Natural-history editorial comparison showing four anatomically credible wild Betta specimens in separate balanced habitat panels: short-finned Betta splendens; Betta imbellis with iridescent operculum and red caudal crescent; small red Betta coccina; robust mouthbrooding Betta pugnax; consistent documentary lighting; no fighting no domestic Halfmoon fins no evolutionary tree no text labels no exact-size implication or product logos",Owner-created,owner-supplied,right,"Keep all four complete fish and their fin edges visible in separate panels; preserve equal visual weight without implying identical scale; use 16:9 without forced crop",true,approved
colors-hero,/biology-genetics/colors/,article-hero,assets/source/betta-colors-patterns-comparison.webp,public/assets/images/betta-colors-patterns-comparison.webp,ce74d6036a1ac00fda0da8e2886647a308c635f3e67f6fa9aed1127612207e98,1600,900,16:9,webp,98366,"Domestic bettas showing solid butterfly marble and metallic color patterns","Color and pattern names describe visible domestic traits rather than separate Betta species.","Natural-history editorial comparison of four anatomically credible domestic Betta splendens in separate balanced panels showing a solid red short-fin fish; blue-white butterfly long-fin fish; red-white-black marble or koi-pattern fish; and blue-green metallic short-fin fish; neutral daylight-balanced aquarium lighting; no fantasy colors labels show ribbons prices or fighting",Owner-created,owner-supplied,center,"Keep every fish and all fin edges visible; separate panels; equal visual weight without exact-size implication; use 16:9 without forced crop",true,approved
color-change-hero,/biology-genetics/color-change/,article-hero,assets/source/betta-color-change-photo-record.webp,public/assets/images/betta-color-change-photo-record.webp,8741548b9d7accb1bdf1c4bfe1f1f5575b2acdf1cf1543df9cc49b28277c67e1,1600,900,16:9,webp,119874,"Two views of the same marble betta showing gradual pattern redistribution","Consistent photographs help separate gradual pattern development from a sudden health-related change.","Documentary editorial diptych of the same anatomically credible marble Betta splendens at two stages with visible redistribution of red blue and white patches",Owner-created,owner-supplied,center,"Keep the complete fish visible in both panels with matched scale and angle; use 16:9 without forced crop",true,approved
gender-identification-hero,/breeding/gender-identification/,article-hero,assets/source/male-female-betta-identification.webp,public/assets/images/male-female-betta-identification.webp,443049e11230df81bc1562cc455158cd53e316efc5272b9435d62745062097bc,1600,900,16:9,webp,49114,"Mature male and female domestic bettas shown in separate side-view identification panels","Several mature anatomical traits should be compared because fin length or color alone does not prove sex.","Scientific editorial comparison of one mature short-finned male and one mature female Betta splendens in separate side-view aquarium panels",Owner-created,owner-supplied,center,"Keep both entire fish and all fins visible at matched scale; do not imply identification from color; use 16:9 without forced crop",true,approved
pairing-fry-care-hero,/breeding/pairing-fry-care/,article-hero,assets/source/betta-breeding-divider-fry-plan.webp,public/assets/images/betta-breeding-divider-fry-plan.webp,306b6e1734c1352d90ce1581ed248009d7c714fba1987904fdb1b441940aa836,1600,900,16:9,webp,59574,"Male and female bettas separated by a clear divider in a covered breeding aquarium","A protected introduction and immediate separation plan come before any supervised betta pairing.","Welfare-first editorial scene of a covered breeding aquarium with two adults separated by a clear divider bubble nest sponge filter retreats and a prepared grow-out tank",Owner-created,owner-supplied,right,"Keep both adults divider lid bubble-nest area retreat cover and sponge filter visible; use 16:9 without forced crop",true,approved
growth-rate-size-hero,/morphology/growth-rate-size/,article-hero,assets/source/betta-safe-length-measurement.webp,public/assets/images/betta-safe-length-measurement.webp,f3d35a07fc5ce11c86f3b9059eedcb34a4f79cefc590ec80bc9e8c537817a972,1600,900,16:9,webp,73668,"Black short-finned betta photographed beside an external ruler while remaining in aquarium water","A consistent external scale allows body growth to be recorded without handling the fish.","Documentary side view of an anatomically credible black short-finned Betta splendens swimming parallel to a ruler outside the aquarium glass",Owner-created,owner-supplied,right,"Keep the entire fish ruler and snout-to-tail alignment visible; avoid lens distortion; use 16:9 without forced crop",true,approved
betta-fish-price-hero,/economics/betta-fish-price/,article-hero,assets/source/betta-complete-care-budget.webp,public/assets/images/betta-complete-care-budget.webp,43c7b9fb669b57679bc93a09a38cf6a90ceebe40ae0ec09e3027a4f62104acb4,1600,900,16:9,webp,82088,"Betta aquarium and care supplies arranged beside a budget worksheet and calculator","The fish price is only one line in a responsible ownership budget.","Editorial photograph of a healthy betta aquarium with core equipment, supplies and a budget worksheet",Owner-created,owner-supplied,left,"Keep the whole fish equipment worksheet and calculator visible; use 16:9 without cropping the fish",true,approved
velvet-treatment-hero,/diseases/velvet-treatment/,article-hero,assets/source/suspected-betta-velvet-vet-check.webp,public/assets/images/suspected-betta-velvet-vet-check.webp,e9ffde08304813bff6644554b04c23258130a1d71bb8c8b92f2b961cd25e23d0,1600,900,16:9,webp,46556,"Aquatic veterinarian observing a betta and preparing a skin wet-mount microscope examination","Velvet-like coating and breathing changes require confirmation before case-specific treatment.","Clinical documentary editorial scene with a dark Crowntail betta in a heated hospital aquarium beside a thermometer microscope and prepared wet-mount slide",Owner-created,owner-supplied,right,"Keep the entire fish gills waterline thermometer and microscope visible; clinical but calm; use 16:9 without forced crop",true,approved
columnaris-treatment-hero,/diseases/columnaris-treatment/,article-hero,assets/source/suspected-columnaris-vet-exam.webp,public/assets/images/suspected-columnaris-vet-exam.webp,4bf15886b24adad37e0f1df4223c9c6dd1138974cb82efa4a2a0d02d87f2f2c5,1600,900,16:9,webp,57556,"Aquatic veterinarian observing a pale-blue betta with a localized pale mouth lesion","Columnaris-like lesions overlap with other conditions and require prompt diagnostic assessment.","Clinical documentary image showing a pale-blue Veiltail betta with a subtle mouth lesion in an observation aquarium beside a veterinarian microscope and testing tools",Owner-created,owner-supplied,right,"Keep the whole fish mouth profile gills and diagnostic context visible; avoid graphic disease effects; use 16:9 without forced crop",true,approved
dropsy-treatment-hero,/diseases/dropsy-treatment/,article-hero,assets/source/betta-swelling-top-view-triage.webp,public/assets/images/betta-swelling-top-view-triage.webp,bb8c7959f44537309c95f2fe3f3440c476681d258f43d87bcb98ecf2d5a08464,1600,900,16:9,webp,56656,"Side and top observation views of a swollen betta prepared for veterinary triage","Swelling and raised scales are urgent signs whose underlying cause requires assessment.","Clinical documentary split view of the same yellow Betta splendens from the side and above showing moderate symmetric abdominal swelling and subtly raised scales",Owner-created,owner-supplied,center,"Keep both complete fish views visible at matched scale; show signs clearly but not graphically; use 16:9 without forced crop",true,approved
swim-bladder-treatment-hero,/anatomy/swim-bladder-treatment/,article-hero,assets/source/betta-buoyancy-video-triage.webp,public/assets/images/betta-buoyancy-video-triage.webp,f90ed1b2b46fc3ef9d8afd451c916ba5b7219ec853327505d6d6e780aef06390,1600,900,16:9,webp,47512,"Orange-and-white betta with a mild tilted posture in a supported hospital aquarium","A recorded movement pattern and water tests help assess a buoyancy problem without assuming one cause.","Clinical documentary scene showing a mildly tilted orange-and-white betta in a heated covered hospital aquarium with gentle aeration resting leaves thermometer and phone recording",Owner-created,owner-supplied,right,"Keep the whole fish surface access heater thermometer resting points and recording context visible; use 16:9 without forced crop",true,approved
