url,page_type,status,parent_hub,primary_intent,primary_query,central_entity,unique_promise,excluded_scope,canonical_owner,author,reviewer,risk_class,freshness_class,hero_asset_id,schema_types,source_file,output_file
/anatomy/betta-fish-sleep/,article,approved,/biology-genetics/,learn,how do betta fish sleep,Betta sleep,"Explain normal rest positions rhythms and signs that warrant a care check","Diagnosing illness from resting alone",yes,Farrukh Abdullah,Kate Barrington,ordinary,yearly,betta-fish-sleep-hero,"Article|FAQPage|BreadcrumbList",content/pages/betta-fish-sleep.json,public/anatomy/betta-fish-sleep/index.html
/behavior/hearing-music/,article,approved,/biology-genetics/,learn,can betta fish hear music,Betta hearing,"Explain sound and vibration perception with low-stress aquarium guidance","Claims about musical preference or enrichment outcomes",yes,Farrukh Abdullah,Kate Barrington,ordinary,yearly,hearing-music-hero,"Article|FAQPage|BreadcrumbList",content/pages/hearing-music.json,public/behavior/hearing-music/index.html
/behavior/flaring-triggers/,article,approved,/biology-genetics/,learn,why do betta fish flare,Betta flaring,"Differentiate common flaring triggers from persistent-stress warning signs","Interpreting every flare as aggression or exercise",yes,Farrukh Abdullah,Kate Barrington,animal-welfare,quarterly,flaring-triggers-hero,"Article|FAQPage|BreadcrumbList",content/pages/flaring-triggers.json,public/behavior/flaring-triggers/index.html
/breeding/pairing-fry-care/,article,approved,/biology-genetics/,act,betta fish breeding and fry care,Betta breeding,"Set welfare-first pairing separation and fry-care decision points","Commercial breeding guarantees or unsafe improvisation",yes,Farrukh Abdullah,Kate Barrington,animal-welfare,quarterly,pairing-fry-care-hero,"Article|FAQPage|BreadcrumbList",content/pages/pairing-fry-care.json,public/breeding/pairing-fry-care/index.html
/breeding/gender-identification/,article,approved,/biology-genetics/,compare,male vs female betta fish,Betta sex identification,"Compare multiple identification traits while explaining uncertainty in juveniles and varieties","Certainty from fin length or color alone",yes,Farrukh Abdullah,Kate Barrington,ordinary,yearly,gender-identification-hero,"Article|FAQPage|BreadcrumbList",content/pages/gender-identification.json,public/breeding/gender-identification/index.html
/origins/wild-habitats/,article,approved,/biology-genetics/,learn,betta fish natural habitat,Wild Betta habitat,"Connect Southeast Asian habitat ecology to responsible captive care without romanticizing puddles","Captive-care prescriptions from one habitat description",yes,Farrukh Abdullah,Kate Barrington,ordinary,yearly,wild-habitats-hero,"Article|FAQPage|BreadcrumbList",content/pages/wild-habitats.json,public/origins/wild-habitats/index.html
/morphology/growth-rate-size/,article,approved,/biology-genetics/,learn,how big do betta fish get,Betta growth,"Explain adult size growth variation and measurement limits by age and form","Guaranteed growth rates",yes,Farrukh Abdullah,Kate Barrington,ordinary,yearly,growth-rate-size-hero,"Article|FAQPage|BreadcrumbList",content/pages/growth-rate-size.json,public/morphology/growth-rate-size/index.html
/biology-genetics/species/,article,approved,/biology-genetics/,learn,betta fish species,Betta genus,"Distinguish domestic Betta splendens from wild Betta diversity and conservation context","A complete taxonomic catalogue or purchase guide",yes,Farrukh Abdullah,Kate Barrington,ordinary,yearly,species-hero,"Article|FAQPage|BreadcrumbList",content/pages/species.json,public/biology-genetics/species/index.html
/biology-genetics/colors/,article,approved,/biology-genetics/,compare,betta fish colors,Betta coloration,"Organize common color and pattern terminology without implying fixed genetics from appearance","Sales grading and price claims",yes,Farrukh Abdullah,Kate Barrington,ordinary,yearly,colors-hero,"Article|FAQPage|BreadcrumbList",content/pages/colors.json,public/biology-genetics/colors/index.html
/biology-genetics/color-change/,article,approved,/biology-genetics/,diagnose,why is my betta fish changing color,Betta color change,"Separate expected genetic or age-related change from husbandry and health warning signs","Diagnosis from color change alone",yes,Farrukh Abdullah,Kate Barrington,animal-welfare,quarterly,color-change-hero,"Article|FAQPage|BreadcrumbList",content/pages/color-change.json,public/biology-genetics/color-change/index.html
/biology-genetics/plakat-betta/,article,approved,/biology-genetics/,learn,plakat betta fish,Plakat betta,"Explain short-fin form history identification and care implications","Purchase listings and fighting promotion",yes,Farrukh Abdullah,Kate Barrington,ordinary,yearly,plakat-betta-hero,"Article|FAQPage|BreadcrumbList",content/pages/plakat-betta.json,public/biology-genetics/plakat-betta/index.html
/biology-genetics/giant-betta/,article,approved,/biology-genetics/,learn,giant betta fish,Giant betta,"Explain size terminology inheritance uncertainty and space implications","Guaranteed adult size and sales listings",yes,Farrukh Abdullah,Kate Barrington,animal-welfare,yearly,giant-betta-hero,"Article|FAQPage|BreadcrumbList",content/pages/giant-betta.json,public/biology-genetics/giant-betta/index.html
/economics/betta-fish-price/,article,approved,/care/,evaluate,betta fish price,Betta ownership cost,"Separate fish price from setup and ongoing welfare costs with date-sensitive ranges","Vendor endorsements and guaranteed prices",yes,Farrukh Abdullah,Kate Barrington,ordinary,quarterly,betta-fish-price-hero,"Article|FAQPage|BreadcrumbList",content/pages/betta-fish-price.json,public/economics/betta-fish-price/index.html
/404.html,utility,approved,/,recover,page not found,BettaFish.website,"Help readers recover from an invalid URL","Indexable thin content",yes,,,ordinary,yearly,,"WebPage|BreadcrumbList",content/pages/404.json,public/404.html
